마케팅신업종,,,,,,,,표준산업분류(KSIC10),,,
KBMLC,KBMLN,KBMMC,KBMMN,KBMSC,KBMSN,KBMSSC,KBMSSN,BZC_CD,BZC_NM,BZC_CD1,BZC_CD3
R,소매업,R17,의류,R170,NULL,R17006,스포츠의류,G47419,기타 의복 소매업,G47,G47
R,소매업,R17,의류,R170,NULL,R17010,옷감/직물/수예,G47419,기타 의복 소매업,G47,G47
R,소매업,R17,의류,R170,NULL,R17012,일반의류(기타),G47419,기타 의복 소매업,G47,G47
R,소매업,R17,의류,R170,NULL,R17013,캐쥬얼,G47419,기타 의복 소매업,G47,G47
R,소매업,R17,의류,R170,NULL,R17014,한복/민속옷,G47419,기타 의복 소매업,G47,G47
R,소매업,R05,건축/인테리어,R050,NULL,R05002,보일러/냉난방용품,G47511,철물 및 난방용구 소매업,G47,G47
R,소매업,R05,건축/인테리어,R050,NULL,R05001,바닥/벽지/창호,G47513,"벽지, 마루덮개 및 장판류 소매업",G47,G47
R,소매업,R05,건축/인테리어,R050,NULL,R05003,실내장식,G47513,"벽지, 마루덮개 및 장판류 소매업",G47,G47
R,소매업,R05,건축/인테리어,R050,NULL,R05005,욕실/인테리어,G47513,"벽지, 마루덮개 및 장판류 소매업",G47,G47
R,소매업,R05,건축/인테리어,R050,NULL,R05006,인테리어자재,G47513,"벽지, 마루덮개 및 장판류 소매업",G47,G47
R,소매업,R05,건축/인테리어,R050,NULL,R05007,전문디자인,G47513,"벽지, 마루덮개 및 장판류 소매업",G47,G47
R,소매업,R05,건축/인테리어,R050,NULL,R05008,조명기구/전기용품,G47513,"벽지, 마루덮개 및 장판류 소매업",G47,G47
R,소매업,R05,건축/인테리어,R050,NULL,R05009,지물및천막,G47513,"벽지, 마루덮개 및 장판류 소매업",G47,G47
R,소매업,R01,가구,R010,NULL,R01001,사무용가구,G47520,가구 소매업,G47,G47
R,소매업,R01,가구,R010,NULL,R01002,일반가구,G47520,가구 소매업,G47,G47
R,소매업,R01,가구,R010,NULL,R01003,주방가구,G47520,가구 소매업,G47,G47
R,소매업,R03,가정용품,R030,NULL,R03001,기타가정용품,G47592,"주방용품 및 가정용 유리, 요업 제품 소매업",G47,G47
R,소매업,R03,가정용품,R030,NULL,R03002,정수기판매,G47592,"주방용품 및 가정용 유리, 요업 제품 소매업",G47,G47
R,소매업,R03,가정용품,R030,NULL,R03003,주방용품,G47592,"주방용품 및 가정용 유리, 요업 제품 소매업",G47,G47
R,소매업,R03,가정용품,R030,NULL,R03004,커튼/침구,G47592,"주방용품 및 가정용 유리, 요업 제품 소매업",G47,G47
R,소매업,R24,취미-음악,R240,NULL,R24001,기타악기전문점,G47593,악기 소매업,G47,G47
R,소매업,R24,취미-음악,R240,NULL,R24002,피아노전문점,G47593,악기 소매업,G47,G47
R,소매업,R09,사무/문구용품,R090,NULL,R09001,과학기자재점,G47611,"서적, 신문 및 잡지류 소매업",G47,G47
R,소매업,R09,사무/문구용품,R090,NULL,R09002,교육기자재점,G47611,"서적, 신문 및 잡지류 소매업",G47,G47
R,소매업,R10,서적,R100,NULL,R10001,신문/출판,G47611,"서적, 신문 및 잡지류 소매업",G47,G47
R,소매업,R10,서적,R100,NULL,R10002,아동도서,G47611,"서적, 신문 및 잡지류 소매업",G47,G47
R,소매업,R10,서적,R100,NULL,R10003,전문서적,G47611,"서적, 신문 및 잡지류 소매업",G47,G47
R,소매업,R10,서적,R100,NULL,R10004,종합서점,G47611,"서적, 신문 및 잡지류 소매업",G47,G47
R,소매업,R10,서적,R100,NULL,R10005,중고서점,G47611,"서적, 신문 및 잡지류 소매업",G47,G47
R,소매업,R10,서적,R100,NULL,R10006,참고서/교재,G47611,"서적, 신문 및 잡지류 소매업",G47,G47
R,소매업,R09,사무/문구용품,R090,NULL,R09003,문구용품,G47612,문구용품 및 회화용품 소매업,G47,G47
R,소매업,R09,사무/문구용품,R090,NULL,R09004,사무용품,G47612,문구용품 및 회화용품 소매업,G47,G47
R,소매업,R23,취미-미술,R230,NULL,R23001,표구사,G47612,문구용품 및 회화용품 소매업,G47,G47
R,소매업,R23,취미-미술,R230,NULL,R23002,화방/화랑,G47612,문구용품 및 회화용품 소매업,G47,G47
S,서비스,S02,(정기)납부/대여서비스,S024,방송/미디어,S02402,미디어/음향,G47620,음반 및 비디오물 소매업,G47,G47
R,소매업,R14,운동/레져용품,R140,NULL,R14001,골프용품/의류,G47631,운동 및 경기용품 소매업,G47,G47
R,소매업,R14,운동/레져용품,R140,NULL,R14002,낚시용품,G47631,운동 및 경기용품 소매업,G47,G47
R,소매업,R14,운동/레져용품,R140,NULL,R14003,농구용품,G47631,운동 및 경기용품 소매업,G47,G47
R,소매업,R14,운동/레져용품,R140,NULL,R14004,등산용품/의류,G47631,운동 및 경기용품 소매업,G47,G47
R,소매업,R14,운동/레져용품,R140,NULL,R14005,레져용품,G47631,운동 및 경기용품 소매업,G47,G47
R,소매업,R14,운동/레져용품,R140,NULL,R14006,배드민턴용품,G47631,운동 및 경기용품 소매업,G47,G47
R,소매업,R14,운동/레져용품,R140,NULL,R14007,볼링용품,G47631,운동 및 경기용품 소매업,G47,G47
R,소매업,R14,운동/레져용품,R140,NULL,R14008,수영용품,G47631,운동 및 경기용품 소매업,G47,G47
R,소매업,R14,운동/레져용품,R140,NULL,R14009,스키/스노우보드용품,G47631,운동 및 경기용품 소매업,G47,G47
R,소매업,R14,운동/레져용품,R140,NULL,R14010,스킨스쿠버용품,G47631,운동 및 경기용품 소매업,G47,G47
